LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M,,,,13.8,18.11,11.76
-37.81599,144.98461,2020,6,8,2.05,1.28,1.62,1.07,3.67,2.35,2.57,1.83,,,,,,
-37.81599,144.98461,2020,6,9,3.2,2.53,1.82,1.26,5.02,3.79,3.53,2.5,,,,,,
-37.81599,144.98461,2020,6,10,3.24,2.58,2.61,1.61,5.85,4.19,4.6,2.99,,,,,,
-37.81599,144.98461,2020,6,11,3.12,1.82,1.29,0.98,4.41,2.8,2.92,2.02,,,,,,
-37.81599,144.98461,2020,6,12,4.2,2.63,2.45,1.77,6.65,4.41,4.56,3.01,,,,,,
-37.81599,144.98461,2020,6,13,5.58,5.37,6.98,4.12,12.56,9.49,9.84,6.96,,,,,,
-37.81599,144.98461,2020,6,14,5.87,4.47,7.43,5.11,13.31,9.58,10.14,7.27,,,,,,
-37.81599,144.98461,2020,6,15,1.86,2.78,8.58,5.13,10.45,7.91,9.32,6.33,,,,,,
-37.81599,144.98461,2020,6,16,5.32,5.08,5.43,2.97,10.75,8.05,8.83,5.81,,,,,,
-37.81599,144.98461,2020,6,17,4.13,2.02,0.87,0.84,5,2.86,2.75,1.86,,,,,,
-37.81599,144.98461,2020,6,18,4.78,3.97,2.96,2.03,7.74,6,6.37,4.07,,,,,,
-37.81599,144.98461,2020,6,19,4.09,4.43,7.31,4.26,11.41,8.68,9.37,6.39,,,,,,
-37.81599,144.98461,2020,6,20,3.72,3.2,4.38,2.3,8.1,5.5,6.16,4.01,,,,,,
-37.81599,144.98461,2020,6,21,3.69,2.07,0.75,0.61,4.44,2.68,3.18,2.03,,,,,,
-37.81599,144.98461,2020,6,22,3.01,2.48,4.94,2.87,7.95,5.35,6.52,4.32,,,,,,
-37.81599,144.98461,2020,6,23,2.89,2.31,3.65,2.18,6.54,4.49,4.97,3.09,,,,,,
-37.81599,144.98461,2020,6,24,5.6,2.9,0.42,0.3,6.02,3.2,3.02,1.86,,,,,,
-37.81599,144.98461,2020,6,25,3.66,3.97,4.77,2.72,8.43,6.68,6.94,4.44,,,,,,
