LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M,,,,13.8,18.11,11.76
-37.81599,144.98461,2020,12,8,3.64,3.44,4.34,2.49,7.98,5.93,6.39,4.74,,,,,,
-37.81599,144.98461,2020,12,9,3.09,3.33,3.21,2.04,6.3,5.36,4.28,3.32,,,,,,
-37.81599,144.98461,2020,12,10,4.22,4.17,5.83,4.4,10.04,8.57,8.5,6.72,,,,,,
-37.81599,144.98461,2020,12,11,2.03,3.24,5.66,3.35,7.69,6.59,6.62,4.97,,,,,,
-37.81599,144.98461,2020,12,12,4.05,3.32,2.91,2.36,6.96,5.69,4.78,3.35,,,,,,
-37.81599,144.98461,2020,12,13,8.42,6.89,1.29,0.79,9.72,7.68,5.6,3.79,,,,,,
-37.81599,144.98461,2020,12,14,7.54,6.78,4.08,2.38,11.62,9.16,7.28,4.95,,,,,,
-37.81599,144.98461,2020,12,15,4.82,4.46,3.62,3,8.44,7.47,6.81,5.09,,,,,,
-37.81599,144.98461,2020,12,16,3.82,4.14,2.7,1.92,6.52,6.06,4.83,4.14,,,,,,
-37.81599,144.98461,2020,12,17,8.27,6.4,0.13,0.22,8.4,6.61,4.87,3.83,,,,,,
-37.81599,144.98461,2020,12,18,4.8,4.67,3.03,1.84,7.83,6.51,6.59,5.26,,,,,,
-37.81599,144.98461,2020,12,19,4.11,4.09,2.71,1.72,6.82,5.81,4.7,3.84,,,,,,
-37.81599,144.98461,2020,12,20,2.61,2.49,3.43,2.86,6.04,5.35,4.68,3.68,,,,,,
-37.81599,144.98461,2020,12,21,3.66,2.14,0.8,0.59,4.47,2.73,2.72,1.91,,,,,,
-37.81599,144.98461,2020,12,22,11.26,9.14,1.1,0.67,12.35,9.81,8.35,6.55,,,,,,
-37.81599,144.98461,2020,12,23,4.15,3.59,4.73,2.62,8.88,6.21,6.06,4.66,,,,,,
-37.81599,144.98461,2020,12,24,3.17,4.33,4.91,2.75,8.07,7.08,6.62,5.16,,,,,,
-37.81599,144.98461,2020,12,25,1.39,2.8,5.15,2.97,6.54,5.77,5.99,4.6,,,,,,
-37.81599,144.98461,2020,12,26,4.35,3.31,0.69,0.56,5.05,3.87,3.21,2.32,,,,,,
-37.81599,144.98461,2020,12,27,12.15,9.83,5.96,3.1,18.11,12.92,11.25,8.16,,,,,,
-37.81599,144.98461,2020,12,28,2.89,3.73,5.08,2.88,7.97,6.61,6.85,5.24,,,,,,
-37.81599,144.98461,2020,12,29,3.02,3.74,3.96,2.34,6.98,6.08,5.33,4.07,,,,,,
-37.81599,144.98461,2020,12,30,3.45,2.65,3.93,3.13,7.38,5.78,5.54,4.46,,,,,,
-37.81599,144.98461,2020,12,31,2.46,2.94,4.91,2.99,7.36,5.94,6.05,4.94,,,,,,
-37.81599,144.98461,2021,1,1,3.52,2.77,2.12,1.61,5.64,4.38,4.55,3.08,,,,,,
-37.81599,144.98461,2021,1,2,4.01,2.5,2.63,1.99,6.64,4.49,4.79,3.27,,,,,,
-37.81599,144.98461,2021,1,3,3.7,3.08,1.47,1.15,5.17,4.23,3.46,2.64,,,,,,
-37.81599,144.98461,2021,1,4,5.13,4.84,4.94,3.61,10.07,8.46,8.49,6.75,,,,,,
-37.81599,144.98461,2021,1,5,2.31,2.86,7.78,5.69,10.08,8.55,8.75,6.89,,,,,,
-37.81599,144.98461,2021,1,6,2.29,2.94,6.78,4.82,9.08,7.76,8.02,6.36,,,,,,
-37.81599,144.98461,2021,1,7,4.08,3.88,4.66,3.36,8.74,7.24,6.51,4.93,,,,,,
-37.81599,144.98461,2021,1,8,5.7,5.05,0.67,0.66,6.37,5.7,4.66,3.52,,,,,,
-37.81599,144.98461,2021,1,9,4.69,4.01,1.35,1.06,6.05,5.07,3.82,2.82,,,,,,
-37.81599,144.98461,2021,1,10,5.93,3.57,0.25,0.09,6.18,3.67,2.95,1.98,,,,,,
-37.81599,144.98461,2021,1,11,5.73,5.2,4.84,2.58,10.56,7.78,8.78,5.61,,,,,,
-37.81599,144.98461,2021,1,12,2.89,3.65,4.37,2.49,7.26,6.13,6.17,5.13,,,,,,
-37.81599,144.98461,2021,1,13,8.03,5.48,0.87,0.81,8.91,6.29,5.39,3.72,,,,,,
-37.81599,144.98461,2021,1,14,3.42,1.71,4.07,3.79,7.5,5.5,5.61,4.54,,,,,,
-37.81599,144.98461,2021,1,15,7.9,6.99,4.01,2.72,11.91,9.71,8.41,6.46,,,,,,
-37.81599,144.98461,2021,1,16,3.71,4.26,7.32,4.66,11.04,8.92,9.13,6.92,,,,,,
-37.81599,144.98461,2021,1,17,2.28,2.48,4.83,3,7.1,5.48,5.97,4.42,,,,,,
-37.81599,144.98461,2021,1,18,4.26,4.79,4.87,3.09,9.14,7.87,7.09,5.57,,,,,,
-37.81599,144.98461,2021,1,19,2.02,3.58,7.03,4.2,9.04,7.77,8.43,6.59,,,,,,
-37.81599,144.98461,2021,1,20,3.92,2.24,2.88,2.69,6.8,4.93,4.82,3.56,,,,,,
-37.81599,144.98461,2021,1,21,3.41,1.79,1.21,1.05,4.63,2.84,2.57,1.79,,,,,,
-37.81599,144.98461,2021,1,22,2.82,2.92,2.97,2.17,5.8,5.09,4.48,3.55,,,,,,
-37.81599,144.98461,2021,1,23,4.44,2.91,0.93,1.03,5.37,3.95,2.78,2.28,,,,,,
-37.81599,144.98461,2021,1,24,8.54,4.14,0.74,0.34,9.28,4.48,2.84,1.62,,,,,,
-37.81599,144.98461,2021,1,25,13.1,9.4,0.66,0.8,13.76,10.2,7.68,5.2,,,,,,
-37.81599,144.98461,2021,1,26,6.69,5.03,2.25,1.81,8.94,6.84,6.73,5.52,,,,,,
-37.81599,144.98461,2021,1,27,1.08,1.74,7.74,5.4,8.81,7.14,8.25,6.39,,,,,,
-37.81599,144.98461,2021,1,28,3.17,2.32,4.72,2.99,7.88,5.31,5.81,4.23,,,,,,
-37.81599,144.98461,2021,1,29,7.48,6.4,2.48,1.34,9.95,7.74,6.6,4.76,,,,,,
-37.81599,144.98461,2021,1,30,2.38,2.85,4.93,3.5,7.31,6.35,5.98,4.74,,,,,,
-37.81599,144.98461,2021,1,31,2.13,2.92,4.03,2.48,6.16,5.4,5.56,4.43,,,,,,
-37.81599,144.98461,2021,2,1,8.6,7.42,0.36,0.29,8.96,7.71,4.35,3.47,,,,,,
-37.81599,144.98461,2021,2,2,2.44,3.78,6.5,4.03,8.94,7.8,7.9,6.1,,,,,,
-37.81599,144.98461,2021,2,3,2.12,2.08,4.04,2.53,6.16,4.61,5.12,3.79,,,,,,
-37.81599,144.98461,2021,2,4,6.65,5.11,2.58,1.78,9.23,6.89,5.82,3.82,,,,,,
-37.81599,144.98461,2021,2,5,7.77,6.38,4.63,2.66,12.41,9.03,9.66,6.48,,,,,,
-37.81599,144.98461,2021,2,6,3.57,4.49,6.13,3.34,9.7,7.83,7.85,5.58,,,,,,
-37.81599,144.98461,2021,2,7,1.08,2.46,7.14,4.66,8.22,7.12,7.58,5.9,,,,,,
-37.81599,144.98461,2021,2,8,1.59,2.97,6.73,4.34,8.32,7.3,7.56,5.82,,,,,,
-37.81599,144.98461,2021,2,9,4.36,2.23,2.63,2.64,6.99,4.87,5.14,3.7,,,,,,
-37.81599,144.98461,2021,2,10,4.81,3.23,1.07,0.69,5.88,3.93,3.49,2.44,,,,,,
-37.81599,144.98461,2021,2,11,10.06,7.74,1.75,1.18,11.81,8.92,8.32,5.53,,,,,,
-37.81599,144.98461,2021,2,12,3.23,1.83,3.53,3.16,6.76,4.99,4.95,3.84,,,,,,
-37.81599,144.98461,2021,2,13,3.85,4.47,4.18,2.51,8.03,6.97,5.92,4.6,,,,,,
-37.81599,144.98461,2021,2,14,2.64,3.41,5.28,2.93,7.92,6.34,6.2,4.77,,,,,,
-37.81599,144.98461,2021,2,15,4.08,2.74,2.19,2.12,6.26,4.86,4.68,3.36,,,,,,
-37.81599,144.98461,2021,2,16,5.77,4.55,1.1,0.91,6.87,5.46,4.5,3.01,,,,,,
-37.81599,144.98461,2021,2,17,5.57,3.29,0.61,0.65,6.18,3.94,3.49,2.41,,,,,,
-37.81599,144.98461,2021,2,18,8.04,6.99,1.98,1.08,10.02,8.06,5.08,3.62,,,,,,
-37.81599,144.98461,2021,2,19,5.96,6.08,5.44,2.98,11.4,9.05,8.54,5.67,,,,,,
-37.81599,144.98461,2021,2,20,7.48,3.63,1.64,1.51,9.13,5.14,4.52,3.15,,,,,,
-37.81599,144.98461,2021,2,21,5.41,5.02,1.1,0.95,6.51,5.97,3.45,3.06,,,,,,
-37.81599,144.98461,2021,2,22,5.19,5.12,4.29,2.9,9.48,8.03,7.47,5.89,,,,,,
-37.81599,144.98461,2021,2,23,2.94,4.11,5.81,3.28,8.75,7.39,7.88,5.98,,,,,,
-37.81599,144.98461,2021,2,24,3.14,3.4,3.1,2.14,6.24,5.54,4.55,3.32,,,,,,
-37.81599,144.98461,2021,2,25,6.12,5.52,2.56,1.79,8.68,7.31,5.64,4.38,,,,,,
-37.81599,144.98461,2021,2,26,0.55,2.43,5.61,3.16,6.17,5.6,5.93,4.32,,,,,,
-37.81599,144.98461,2021,2,27,3.34,1.38,2.01,1.78,5.35,3.16,3.47,2.47,,,,,,
-37.81599,144.98461,2021,2,28,4.31,2.89,1.6,1.12,5.91,4.01,3.19,2.37,,,,,,
-37.81599,144.98461,2021,3,1,4.95,5.06,5.3,3.42,10.25,8.48,7.65,5.98,,,,,,
-37.81599,144.98461,2021,3,2,2.21,2.95,6.91,4.61,9.12,7.56,8.26,6.42,,,,,,
-37.81599,144.98461,2021,3,3,1.52,2.6,5.39,3.15,6.91,5.75,6.13,4.49,,,,,,
-37.81599,144.98461,2021,3,4,2.67,3.58,5.55,3.19,8.22,6.78,6.76,5,,,,,,
-37.81599,144.98461,2021,3,5,0.8,2.3,8.23,5.55,9.03,7.85,8.67,6.7,,,,,,
-37.81599,144.98461,2021,3,6,4.67,2.77,3.4,2.46,8.07,5.23,5.5,4.03,,,,,,
-37.81599,144.98461,2021,3,7,3.63,2.96,1.2,0.86,4.83,3.82,3.21,2.38,,,,,,
-37.81599,144.98461,2021,3,8,6.3,5.24,0.76,0.54,7.06,5.78,3.8,2.9,,,,,,
-37.81599,144.98461,2021,3,9,1.73,2.7,4.47,2.7,6.2,5.4,5.45,4.04,,,,,,
-37.81599,144.98461,2021,3,10,2.93,1.26,2.89,2.47,5.82,3.73,4.17,3.09,,,,,,
-37.81599,144.98461,2021,3,11,3.85,2.54,0.28,0.35,4.14,2.89,2.38,1.67,,,,,,
-37.81599,144.98461,2021,3,12,7.94,4.37,0.92,0.45,8.86,4.81,3.41,2.08,,,,,,
-37.81599,144.98461,2021,3,13,2.69,3.13,7.13,4.92,9.83,8.04,8.7,6.19,,,,,,
-37.81599,144.98461,2021,3,14,7.04,5.61,1.22,0.75,8.26,6.37,6.05,4.39,,,,,,
-37.81599,144.98461,2021,3,15,4.08,3.84,1.81,1.24,5.88,5.08,4.74,3.56,,,,,,
-37.81599,144.98461,2021,3,16,5.31,3.6,0.53,0.79,5.85,4.39,3.88,2.82,,,,,,
-37.81599,144.98461,2021,3,17,5.41,2.99,0.66,0.61,6.07,3.6,3.52,2.37,,,,,,
-37.81599,144.98461,2021,3,18,5.21,3.21,0.58,0.61,5.79,3.82,3.12,2.08,,,,,,
-37.81599,144.98461,2021,3,19,6.77,4.92,0.53,0.21,7.3,5.13,4.16,2.87,,,,,,
-37.81599,144.98461,2021,3,20,3.51,2.56,3.56,2.71,7.07,5.27,5.32,3.78,,,,,,
-37.81599,144.98461,2021,3,21,2.24,2.49,4.38,2.51,6.62,5,5.07,3.39,,,,,,
-37.81599,144.98461,2021,3,22,4.81,4.2,2.89,1.7,7.69,5.9,5.55,3.75,,,,,,
-37.81599,144.98461,2021,3,23,2.04,2.25,3.18,1.89,5.22,4.14,4.4,3.15,,,,,,
-37.81599,144.98461,2021,3,24,4.07,4.51,3.83,2.15,7.91,6.66,5.64,4.1,,,,,,
-37.81599,144.98461,2021,3,25,4.42,4.48,4.76,2.81,9.19,7.3,7.17,5.09,,,,,,
-37.81599,144.98461,2021,3,26,3.01,3.01,3.62,2.27,6.63,5.27,5.14,3.47,,,,,,
-37.81599,144.98461,2021,3,27,3.08,3.27,4.39,2.7,7.47,5.97,5.87,4.12,,,,,,
-37.81599,144.98461,2021,3,28,2.24,2.5,3.54,2.17,5.78,4.66,4.78,3.31,,,,,,
-37.81599,144.98461,2021,3,29,2.9,3.36,3.34,2.18,6.24,5.54,5.48,3.87,,,,,,
-37.81599,144.98461,2021,3,30,2.15,2.48,2.92,1.82,5.07,4.31,3.99,2.91,,,,,,
-37.81599,144.98461,2021,3,31,2.95,2.25,1.18,0.95,4.12,3.2,2.63,1.88,,,,,,
-37.81599,144.98461,2021,4,1,3.71,2.39,2.14,1.47,5.85,3.86,3.97,2.64,,,,,,
-37.81599,144.98461,2021,4,2,5.08,2.53,1.12,0.78,6.2,3.31,2.3,1.5,,,,,,
-37.81599,144.98461,2021,4,3,3.14,4.05,6.22,3.13,9.35,7.17,7.47,4.69,,,,,,
-37.81599,144.98461,2021,4,4,3.3,2.33,3.6,2.92,6.9,5.24,5.48,3.9,,,,,,
-37.81599,144.98461,2021,4,5,1.76,2.38,4.6,3.12,6.37,5.5,5.56,4.19,,,,,,
-37.81599,144.98461,2021,4,6,2.62,1.59,3.77,3.09,6.39,4.68,5.36,3.91,,,,,,
-37.81599,144.98461,2021,4,7,5.03,2.79,0.22,0.26,5.25,3.05,2.95,1.9,,,,,,
-37.81599,144.98461,2021,4,8,8.31,6.52,1.83,1.19,10.15,7.71,6.46,4.23,,,,,,
-37.81599,144.98461,2021,4,9,5.12,4.85,3.65,2.1,8.77,6.95,6.64,4.86,,,,,,
-37.81599,144.98461,2021,4,10,7.07,6.81,5.14,3.02,12.2,9.82,9.2,6.72,,,,,,
-37.81599,144.98461,2021,4,11,4.59,5.01,8.19,5.26,12.78,10.27,10.43,7.67,,,,,,
-37.81599,144.98461,2021,4,12,4.86,3.11,3,1.97,7.86,5.08,5.28,3.81,,,,,,
-37.81599,144.98461,2021,4,13,8.93,7.63,3.8,2.46,12.73,10.09,9.05,6.63,,,,,,
-37.81599,144.98461,2021,4,14,6.57,5.55,6.48,3.73,13.05,9.28,9.22,6.48,,,,,,
-37.81599,144.98461,2021,4,15,3.37,4.32,6.17,3.44,9.54,7.76,7.49,5.09,,,,,,
-37.81599,144.98461,2021,4,16,2.94,1.63,3.22,2.15,6.15,3.78,4.63,3.17,,,,,,
-37.81599,144.98461,2021,4,17,2.08,2.3,2.64,1.65,4.72,3.95,4.09,2.91,,,,,,
-37.81599,144.98461,2021,4,18,2.83,2.57,3.13,2.07,5.96,4.64,4.55,3.16,,,,,,
-37.81599,144.98461,2021,4,19,4.12,2.91,4.37,2.78,8.49,5.69,6.41,4.32,,,,,,
-37.81599,144.98461,2021,4,20,2.78,3.89,7.73,4.55,10.52,8.43,8.73,6.11,,,,,,
-37.81599,144.98461,2021,4,21,4.98,2.18,2.18,1.97,7.16,4.16,4.71,3.12,,,,,,
-37.81599,144.98461,2021,4,22,1.74,3.09,6.88,3.9,8.61,6.99,7.59,5.23,,,,,,
-37.81599,144.98461,2021,4,23,2.81,3.07,4.69,2.56,7.5,5.63,6.07,4.05,,,,,,
-37.81599,144.98461,2021,4,24,1.88,2.57,4.47,2.63,6.34,5.2,5.33,3.6,,,,,,
-37.81599,144.98461,2021,4,25,1.09,1.59,3.97,2.62,5.06,4.21,4.57,3.14,,,,,,
-37.81599,144.98461,2021,4,26,1.27,1.82,3.7,2.32,4.96,4.14,4.62,3.2,,,,,,
-37.81599,144.98461,2021,4,27,2,1.29,2.69,1.84,4.69,3.14,3.6,2.59,,,,,,
-37.81599,144.98461,2021,4,28,3.61,2.11,0.4,0.32,4.01,2.43,1.79,1.25,,,,,,
-37.81599,144.98461,2021,4,29,2.56,1.62,0.33,0.34,2.89,1.96,1.67,1.21,,,,,,
-37.81599,144.98461,2021,4,30,4.66,2.46,1.81,1.33,6.47,3.79,4.44,2.94,,,,,,
-37.81599,144.98461,2021,5,1,2.72,3.56,5.48,2.72,8.2,6.28,6.86,4.16,,,,,,
